record,uuid,status,dTrack,qtime,rnid,consent,HH1,HH23r1,HH23r2,HH23r3,HHCr1,HHCr2,HHCr3,HHAr1,HHAr2,HHAr3,HH4,HH5,HH6r1,HH6r2,HH6r3,HH6r4,HH6r5,HH6r6,HH6r6oe,HHR,Q2,hRegionUS,HH7,HH7r3oe,HHO,HH8,HH8r8oe,HH9,HH10,HH10_1,HH11,HH12r1,noanswerHH12_r8,HH12a,HH13r1,noanswerHH13_r8,HH13a,HHI,ESC1r1,ESC1r2,ESC1r3,ESC1r4,ESC1r5,ESC1ar1,ESC1ar2,ESC1ar3,ESC1ar4,ESC1ar5,ESC1ar6,ESC1br1c1,ESC1br2c1,ESC1br3c1,ESC1br4c1,ESC1b_1r1c2,ESC1b_1r2c2,ESC1b_1r3c2,ESC1b_1r4c2,ESC1b1r1,ESC1b1r2,ESC1b1r3,ESC1b1r4,ESC1cr1c1,ESC1cr2c1,ESC1cr3c1,ESC1cr4c1,ESC1c_1r1c2,ESC1c_1r2c2,ESC1c_1r3c2,ESC1c_1r4c2,ESC1c1r1,ESC1c1r2,ESC1c1r3,ESC1c1r4,ESC2,ESC2a,ESC2b,ESC2c,EB2a,EB2a1,EB3a,EB3a1,EB2b,EB2b1,EB3b,EB3b1,EB2c,EB2c1,EB3c,EB3c1,EB2d,EB2d1,EB3d,EB3d1,EB2e,EB2e1,EB3e,EB3e1,EB4,Q4ar1,Q4ar2,Q4ar3,Q4ar4,Q4ar5,Q4ar6,Q4ar6oe,EB5r1,EB5r2,EB5r3,EB5r4,EB6r1,EB6r2,EB6r3,EB6r4,EB7a,Q7a1,Q7a2,Q7a3,EB7b,Q7b1,Q7b2,Q7b3,EB7c,Q7c1,Q7c2,Q7c3,EB7d,Q7d1,Q7d2,Q7d3,EB8a,Q8a1,Q8a2,Q8b1,EB8b,Q8b2,EB8c,Q8c1,Q8c2,EB8d,Q8d1,Q8d2,HEC1r1a,HEC1r1b,HEC1r1c,HEC1r1d,HEC2r1,HEC2r2,HEC2r3,HEC2r4,HEC2r5,HEC2r6,HEC2r7,HEC2r8,HEC2r9,HEC2r10,HEC2r9oe,HEC3r3a,HEC3r3b,HEC3r3c,HEC3r3d,HEC3r3e,HEC3r3f,HEC3r3g,HEC3r3h,HEC4a,HEC4ai,HEC4aii,HEC4b,HEC4bi,HEC4bii,HEC5,HEC5a,HEC5a1,HEC5a2r1,HEC5a2r2,HEC5a2r3,HEC5a2r4,HEC5a2r5,HEC5a2r6,HEC5a2r7,HEC6,HEC6a,HEC6b1,HEC6b2r1,HEC6b2r2,HEC6b2r3,HEC6b2r4,HEC6b2r5,HEC6b2r6,EL1,hEL1r1,EL2,hEL2r1,EL3,CEP1,Q14a1,CEP2,Q14b1,CEP3,Q14c1,CEP4,Q14d1,CEP5,Q14e1,CEP6,CEP7,CEP8r1,CEP8r2,CEP8r3,CEP8r4,EH1a_er1a,EH1a_er2b,EH1a_er3c,EH1a_er4d,EH1a_er5e,EH2,EH2_1r1,EH2_1r2,EH2_1r3,EH2_1r3oe,H1r1,H1r2,H1r3,H1r4,H1r5,H1r6,H1r7,H1r7oe,H2r1,H2r2,H2r3,H2r4,H2r5,H2r6,H2r7,H2r8,H2r9,H2r10,H2r11,H2r12,H2r13,H2r14,H2r15,H2r16,noanswerH2_r17,PSSPSS1,PSSPSS2,PSSPSS3,PSSPSS4,PSSPSS5,PSSPSS6,PSSPSS7,PSSPSS8,PSSPSS9,PSSPSS10,SF1,SF2,SF3,PSQI1,PSQI2a,PSQI2b,FI1,FI2,FI3,FI4
35,gvbut1a2sv9k93w9,3,0,641.7001004,EPOVL66LVM2RNZH4N1,1,1,0,0,1,0,1,0,1,0,0,76,2,1,0,0,0,0,0,,3,31,1,2,,1,7,,1,2013,,4,300,0,,20000,0,,1,1,0,0,0,0,1,0,0,0,0,0,35,,,,0,0,0,0,,,,,140,,,,0,0,0,0,,,,,2,,,,1,1,2,,,,,,,,,,,,,,,,,,2,1,2,0,0,0,0,,2,,,,2,,,,2,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,4,4,4,4,0,0,0,0,0,0,0,0,0,1,,3,4,3,4,4,4,4,4,1,72,70,1,78,75,4,2,,,,,,,,,2,2,,,,,,,,3,,1,1,1,2,,2,,2,,2,,1,2,2,2,1,0,0,0,1,2,1,1,3,0,,,,,1,2,1,2,2,2,,,2,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,0,2,2,2,4,3,1,5,4,2,2,3,2,1,1,0,0,2,2,2,3
16,u9pxbe0vexg5rtgh,3,0,754.5491912,EPOVL5ZG4B5ZB5X4N2,1,1,0,0,1,0,1,0,1,0,0,68,2,1,0,0,0,0,0,,3,5,4,1,,2,1,,2,2012,,2,1500,0,,64500,0,,3,1,1,0,0,0,1,1,0,0,0,0,171,35,,,0,0,0,0,,,,,171,30,,,0,0,0,0,,,,,1,18,1,2,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,2,2,2,,2,2,,,,2,,,,,,,,2,,,,1,1,,,2,,,,,1,1,,2,3,2,2,0,0,0,0,0,0,0,0,0,1,,3,2,4,3,4,3,3,3,1,70,68,1,78,75,3,2,,,,,,,,,3,2,,,,,,,,2,1,1,1,2,2,,2,,2,,2,,2,,2,2,0,0,1,0,2,2,2,2,1,0,,,,,1,2,1,2,1,2,,,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,1,0,3,3,3,4,3,3,3,3,3,2,4,3,1,2,0,0,1,3,3,3
15,w41gy3643xnxgxkd,3,0,762.8736393,EPOVL5ZF6KYK2XV4N8,1,1,0,0,1,0,1,0,1,0,0,85,2,1,0,0,0,0,0,,3,5,4,2,,1,6,,1,1996,,2,2310,0,,67000,0,,3,1,0,0,0,0,1,0,0,0,0,0,45,,,,0,0,0,0,,,,,35,,,,0,0,0,0,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,4,3,4,3,0,0,0,0,0,0,0,0,0,1,,3,4,3,4,3,3,2,4,2,,,2,,,6,2,,,,,,,,,3,2,,,,,,,,2,1,1,1,2,2,,2,,2,,2,,2,,2,2,0,0,0,1,1,1,1,1,1,0,,,,,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,1,1,1,1,5,4,1,3,3,1,1,2,1,3,1,0,0,1,3,3,3
33,bkvz0jrtv898uc32,3,0,741.9785359,EPOVL65Q2BF2NT84N5,1,1,0,0,1,0,1,0,1,0,0,73,1,1,0,0,0,0,0,,1,44,3,1,,2,2,,2,1991,,1,,1,1,20000,0,,1,1,1,0,0,0,1,1,0,0,0,0,,,,,1,1,0,0,1,1,,,,,,,1,1,0,0,1,1,,,1,59,1,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,3,2,2,,4,2,,,,2,,,,,,,,2,,,,1,1,,,2,,,,,2,,,4,4,4,4,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,3,3,3,1,68,68,1,82,79,2,2,,,,,,,,,4,2,,,,,,,,2,1,3,,1,2,,2,,2,,2,,2,,2,2,1,0,0,0,1,1,1,1,1,0,,,,,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,1,2,2,2,5,5,1,5,5,2,2,3,1,1,1,0,0,1,3,3,3
49,sh8hm4xuq1y4a6y2,3,0,473.6281958,EPOVL6QWT4LBKDN4N6,1,1,0,1,0,0,1,0,0,1,0,64,2,1,0,0,0,0,0,,3,33,1,2,,1,7,,1,2017,2,3,192,0,,10000,0,,1,1,0,0,0,0,1,0,0,0,0,0,45,,,,0,0,0,0,,,,,30,,,,0,0,0,0,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,4,4,4,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,3,3,3,1,72,60,1,78,60,4,2,,,,,,,,,4,2,,,,,,,,2,1,3,,3,2,,2,,2,,2,,2,,2,2,0,0,0,1,3,5,3,2,1,0,,,,,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,1,3,3,3,3,3,3,3,3,3,3,4,2,1,2,0,0,1,3,3,3
20,c3amyyem8myn9gqb,3,0,846.3297653,EPOVL5ZQN9D4QVH4N4,1,2,0,0,2,0,1,0,1,0,0,67,2,1,0,0,0,0,0,,3,44,3,1,,2,2,,3,1998,,2,,1,2,,1,4,3,1,1,0,0,0,1,1,0,0,0,0,50,65,,,0,0,0,0,,,,,100,20,,,0,0,0,0,,,,,1,100,1,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,1,2,2,,2,2,,,,2,,,,,,,,2,,,,1,1,,,2,,,,,2,,,4,4,3,3,0,0,0,0,0,1,0,0,0,0,,3,2,3,4,4,4,4,3,1,60,45,1,75,72,2,2,,,,,,,,,6,2,,,,,,,,4,,2,,1,2,,2,,2,,2,,2,,2,2,1,0,0,0,2,1,1,1,1,0,,,,,2,2,2,2,2,1,1,Arthritis,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,2,1,2,5,4,1,4,4,3,2,2,4,3,1,0,0,1,3,3,3
5,htwvbfx426b13195,3,0,889.4830236,EPOVL5YML8NVXNJ4N8,1,2,0,0,2,0,1,0,1,0,0,69,2,1,0,0,0,0,0,,3,22,1,1,,2,2,,3,2001,,3,450,0,,36000,0,,2,1,0,1,0,0,1,0,1,0,0,0,130,,,,0,0,1,0,,,3,,95,,0,,0,0,0,0,,,,,2,,,,2,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,2,,2,,2,,2,,2,,,,,,,,2,,,,,,,,2,,,,,,2,,,,,,2,3,3,4,0,0,0,0,0,1,1,0,0,0,,3,3,3,2,3,3,3,3,1,70,60,1,75,65,4,2,,,,,,,,,4,1,3,0,0,0,1,1,0,4,,3,,3,2,,2,,2,,2,,1,1,2,2,0,0,0,1,1,1,1,1,2,0,,,,,1,2,1,2,1,2,,,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,0,3,2,2,5,4,2,5,4,2,2,4,4,3,2,0,2,1,3,3,3
61,fcc2awzuyvztkkuk,3,0,466.7469404,EPOVL6RP2TQMHMP4N1,1,4,2,0,0,1,0,1,0,0,1,40,2,1,0,0,0,0,0,,3,34,3,1,,2,2,,5,2016,1,4,2509,0,,10999,0,,1,1,1,0,0,0,1,1,0,0,0,0,150,150,,,0,0,0,0,,,,,150,20,,,0,0,0,0,,,,,1,86,1,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,2,2,2,,3,2,,,,2,,,,,,,,2,,,,2,,,,2,,,,,2,,,4,4,3,4,0,0,0,0,0,0,0,0,0,1,,4,4,4,4,4,4,3,3,1,75,75,1,75,75,4,2,,,,,,,,,4,2,,,,,,,,2,1,2,,1,2,,2,,2,,2,,2,,2,2,0,0,1,0,1,1,1,1,1,0,,,,,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,2,1,1,1,2,1,1,0,0,0,1,3,3,3
4,3hnrt2xpmkbta09j,3,0,898.4680927,EPOVL5YM7BRRCHH4N6,1,2,0,0,2,0,1,0,1,0,0,81,2,1,0,0,0,0,0,,3,3,4,1,,2,2,,4,1995,,3,250,0,,149000,0,,3,1,1,0,0,0,1,1,0,0,0,0,,,,,1,1,0,0,5,5,,,,,,,1,1,0,0,5,5,,,1,75,1,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,4,2,2,,1,2,,,,2,,,,,,,,2,,,,1,1,,,2,,,,,2,,,4,4,4,4,0,0,0,0,0,0,0,0,0,1,,3,4,3,3,3,3,3,3,1,74,74,1,79,79,5,2,,,,,,,,,4,2,,,,,,,,2,1,1,1,2,2,,2,,2,,2,,2,,2,2,0,0,0,1,1,1,1,1,1,0,,,,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,2,5,4,1,1,1,1,1,0,0,0,1,3,3,3
19,r8vy2cxngpmh6g0s,3,0,873.2640066,EPOVL5ZMZXXMSQ44N7,1,1,0,1,0,0,1,0,0,1,0,59,2,1,0,0,0,0,0,,3,38,4,2,,1,1,,0,2018,5,3,400,0,,26000,0,,2,1,1,0,0,0,1,1,0,0,0,0,60,20,,,0,0,0,0,,,,,20,20,,,0,0,0,0,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,2,2,,,2,2,,,2,,,,2,,,,,,,,,,,,1,1,,,2,,,,,,,,1,2,2,3,1,0,1,1,1,0,1,0,0,0,,2,1,2,1,1,1,1,3,1,60,56,2,,,7,1,1,0,0,1,0,1,0,0,1,1,2,1,0,0,0,0,0,2,1,3,,2,1,1,1,1,2,,2,,2,,2,2,0,0,1,1,2,3,3,5,1,0,,,,,2,2,2,2,2,2,,,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,0,2,3,3,3,3,3,4,3,3,3,3,2,3,1,1,0,2,3,3,2
