record,uuid,status,dTrack,qtime,rnid,consent,HH1,HH23r1,HH23r2,HH23r3,HHCr1,HHCr2,HHCr3,HHAr1,HHAr2,HHAr3,HH4,HH5,HH6r1,HH6r2,HH6r3,HH6r4,HH6r5,HH6r6,HH6r6oe,HHR,Q2,hRegionUS,HH7,HH7r3oe,HHO,HH8,HH8r8oe,HH9,HH10,HH10_1,HH11,HH12r1,noanswerHH12_r8,HH12a,HH13r1,noanswerHH13_r8,HH13a,HHI,ESC1r1,ESC1r2,ESC1r3,ESC1r4,ESC1r5,ESC1ar1,ESC1ar2,ESC1ar3,ESC1ar4,ESC1ar5,ESC1ar6,ESC1br1c1,ESC1br2c1,ESC1br3c1,ESC1br4c1,ESC1b_1r1c2,ESC1b_1r2c2,ESC1b_1r3c2,ESC1b_1r4c2,ESC1b1r1,ESC1b1r2,ESC1b1r3,ESC1b1r4,ESC1cr1c1,ESC1cr2c1,ESC1cr3c1,ESC1cr4c1,ESC1c_1r1c2,ESC1c_1r2c2,ESC1c_1r3c2,ESC1c_1r4c2,ESC1c1r1,ESC1c1r2,ESC1c1r3,ESC1c1r4,ESC2,ESC2a,ESC2b,ESC2c,EB2a,EB2a1,EB3a,EB3a1,EB2b,EB2b1,EB3b,EB3b1,EB2c,EB2c1,EB3c,EB3c1,EB2d,EB2d1,EB3d,EB3d1,EB2e,EB2e1,EB3e,EB3e1,EB4,Q4ar1,Q4ar2,Q4ar3,Q4ar4,Q4ar5,Q4ar6,Q4ar6oe,EB5r1,EB5r2,EB5r3,EB5r4,EB6r1,EB6r2,EB6r3,EB6r4,EB7a,Q7a1,Q7a2,Q7a3,EB7b,Q7b1,Q7b2,Q7b3,EB7c,Q7c1,Q7c2,Q7c3,EB7d,Q7d1,Q7d2,Q7d3,EB8a,Q8a1,Q8a2,Q8b1,EB8b,Q8b2,EB8c,Q8c1,Q8c2,EB8d,Q8d1,Q8d2,HEC1r1a,HEC1r1b,HEC1r1c,HEC1r1d,HEC2r1,HEC2r2,HEC2r3,HEC2r4,HEC2r5,HEC2r6,HEC2r7,HEC2r8,HEC2r9,HEC2r10,HEC2r9oe,HEC3r3a,HEC3r3b,HEC3r3c,HEC3r3d,HEC3r3e,HEC3r3f,HEC3r3g,HEC3r3h,HEC4a,HEC4ai,HEC4aii,HEC4b,HEC4bi,HEC4bii,HEC5,HEC5a,HEC5a1,HEC5a2r1,HEC5a2r2,HEC5a2r3,HEC5a2r4,HEC5a2r5,HEC5a2r6,HEC5a2r7,HEC6,HEC6a,HEC6b1,HEC6b2r1,HEC6b2r2,HEC6b2r3,HEC6b2r4,HEC6b2r5,HEC6b2r6,EL1,hEL1r1,EL2,hEL2r1,EL3,CEP1,Q14a1,CEP2,Q14b1,CEP3,Q14c1,CEP4,Q14d1,CEP5,Q14e1,CEP6,CEP7,CEP8r1,CEP8r2,CEP8r3,CEP8r4,EH1a_er1a,EH1a_er2b,EH1a_er3c,EH1a_er4d,EH1a_er5e,EH2,EH2_1r1,EH2_1r2,EH2_1r3,EH2_1r3oe,H1r1,H1r2,H1r3,H1r4,H1r5,H1r6,H1r7,H1r7oe,H2r1,H2r2,H2r3,H2r4,H2r5,H2r6,H2r7,H2r8,H2r9,H2r10,H2r11,H2r12,H2r13,H2r14,H2r15,H2r16,noanswerH2_r17,PSSPSS1,PSSPSS2,PSSPSS3,PSSPSS4,PSSPSS5,PSSPSS6,PSSPSS7,PSSPSS8,PSSPSS9,PSSPSS10,SF1,SF2,SF3,PSQI1,PSQI2a,PSQI2b,FI1,FI2,FI3,FI4
295,05g2yc60bds18m6w,3,0,1671.545614,EPOVSVSGW6V79N24N4,1,2,0,0,0,0,1,0,0,0,1,55,2,0,1,0,0,0,0,,2,28,2,1,,2,2,,3,2001,,3,1200,0,,140000,0,,3,1,1,0,0,0,1,1,0,0,0,0,,,,,1,1,0,0,5,5,,,,,,,1,1,0,0,5,5,,,1,100,1,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,4,4,,4,2,2,,2,2,,,,2,,,,,,,,2,,,,2,,,,2,,,,,2,,,3,3,3,3,0,0,0,0,0,0,0,0,0,1,,3,2,3,3,3,3,3,3,1,71,71,1,69,69,2,2,,,,,,,,,4,2,,,,,,,,2,1,1,1,1,2,,2,,2,,2,,2,,2,2,0,0,1,0,1,1,1,1,1,0,,,,,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,3,2,2,3,1,1,1,0,0,1,3,3,3
305,r2a2qbd0kp8a5n5d,3,0,554.3547986,EPOVSXYN5SK7FT74N5,1,4,0,0,4,0,1,0,1,0,0,55,2,1,0,0,0,0,0,,3,31,1,2,,1,2,,3,2000,,5,,1,2,,1,1,1,1,1,0,0,0,1,1,0,0,0,0,30,50,,,0,0,0,0,,,,,30,55,,,0,0,0,0,,,,,2,,,,1,1,1,1,2,,,,,,,,,,,,,,,,2,1,0,0,0,0,0,,2,2,,,2,2,,,2,,,,2,,,,,,,,,,,,2,,,,2,,,,,,,,3,3,3,3,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,3,3,3,1,68,68,1,70,70,2,2,,,,,,,,,2,2,,,,,,,,4,,1,1,1,2,,2,,2,,2,,1,1,2,2,0,0,0,1,3,4,1,1,4,0,,,,,1,2,1,2,2,2,,,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,0,1,3,3,3,4,3,3,3,3,1,1,1,1,0,0,0,2,1,2,2
301,8fpf4n58s7xx4j3t,3,0,819.1172061,EPOVSXP5G892B934N2,1,2,0,0,2,0,1,0,1,0,0,67,2,1,0,0,0,0,0,,3,39,1,1,,2,2,,3,1977,,2,470,0,,32000,0,,2,0,0,1,0,0,1,0,1,0,0,0,240,,400,,0,0,0,0,,,,,240,,0,,0,0,0,0,,,,,2,,,,2,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,2,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,4,3,3,3,1,0,0,0,0,1,0,0,0,0,,4,4,3,4,4,4,4,3,1,67,61,1,76,76,7,2,,,,,,,,,5,1,2,0,0,0,0,0,1,4,,1,1,3,2,,2,,2,,2,,2,,2,2,0,0,0,1,2,2,1,1,1,0,,,,,1,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,1,5,5,1,5,5,1,1,2,1,1,0,0,0,1,3,3,3
306,u41mq6bdqzqtjjcc,3,0,701.1821895,EPOVSXYNKKT937N4N5,1,2,0,0,0,0,1,0,0,0,1,62,1,1,0,0,0,0,0,,1,44,3,1,,2,1,,1,2016,1,4,,1,1,25,0,,1,1,0,0,0,0,1,0,0,0,0,0,80,,,,0,0,0,0,,,,,125,,,,0,0,0,0,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,3,4,3,3,0,0,0,0,0,0,0,0,0,1,,3,2,3,2,3,3,3,3,1,68,55,1,80,80,5,2,,,,,,,,,3,2,,,,,,,,2,1,1,1,1,1,3,2,,2,,2,,2,,2,2,0,0,1,0,2,2,1,1,1,0,,,,,1,2,2,2,2,2,2,Na,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,3,3,4,4,2,4,4,3,3,2,1,1,1,0,0,1,1,3,3
299,7kw5vmaqkjzgj0dn,3,0,1425.280047,EPOVSXCP9YQGGST4N4,1,2,0,0,2,0,1,0,1,0,0,81,2,0,1,0,0,0,0,,2,44,3,1,,2,2,,4,2007,,4,950,0,,12000,0,,1,1,0,0,0,0,1,0,0,0,0,0,225,,,,0,0,0,0,,,,,180,,,,0,0,0,0,,,,,1,40,1,1,2,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,2,,,2,2,,,2,2,,,,,,,,,,,,2,,,,1,1,,,,,,,,2,,,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,4,4,3,4,3,3,3,3,1,76,78,1,78,78,4,2,,,,,,,,,4,2,,,,,,,,2,1,3,,2,2,,2,,2,,2,,2,,2,2,0,0,0,1,1,1,1,1,1,0,,,,,1,2,1,1,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,5,5,1,5,5,2,1,1,1,1,0,0,0,1,3,3,3
300,7ggytsyu1csb1d7k,3,0,1449.599669,EPOVSXF6JSG4ZP74N9,1,6,4,1,0,1,0,1,0,1,1,30,1,1,0,0,0,0,0,,1,50,2,2,,1,8,Upper lower,3,2017,3,5,950,0,,15016,0,,1,1,1,0,0,0,1,1,0,0,0,0,180,190,,,0,0,0,0,,,,,90,50,,,0,0,0,0,,,,,1,94,3,1,1,1,2,,1,1,2,,,,,,,,,,1,1,2,,1,,,,,,,,2,2,,2,2,2,,2,2,,,,2,,,,,,,,2,,,,2,,,,2,,,,,2,,,1,1,2,2,0,0,0,0,0,0,0,1,0,0,,3,1,2,1,1,1,1,3,1,69,68,1,89,70,7,2,,,,,,,,,1,1,4,0,0,0,1,0,0,2,1,4,,3,1,3,2,,2,,2,,1,2,2,1,0,0,1,0,3,3,1,1,3,0,,,,,2,2,99,99,2,2,,,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,0,4,5,5,5,2,3,3,3,5,4,4,2,3,3,3,3,2,1,2,1
302,w34f9f17qezk7w0m,3,0,1226.319431,EPOVSXXM9HMGVXY4N4,1,5,2,2,1,1,0,1,1,1,0,72,2,1,0,0,0,0,0,,3,35,2,2,,1,6,,3,2018,3,5,1500,0,,,1,2,2,1,0,0,0,0,1,0,0,0,0,0,,,,,1,0,0,0,2,,,,,,,,1,0,0,0,1,,,,2,,,,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,3,4,3,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,3,3,3,1,72,69,1,70,68,2,2,,,,,,,,,6,2,,,,,,,,2,1,3,,3,2,,2,,2,,2,,2,,2,2,0,0,1,0,1,1,1,1,2,0,,,,,1,2,2,1,1,2,2,None,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,0,2,2,3,4,3,2,4,3,3,3,3,1,1,1,0,0,1,2,3,3
296,h8cf2q3rtrfsg336,3,0,3450.751855,EPOVSWR9HZMQXQD4N5,1,2,0,0,2,0,1,0,1,0,0,60,2,1,0,0,0,0,0,,3,3,4,1,,2,2,,3,2008,,3,,1,4,40000,0,,2,1,1,0,0,0,1,1,0,0,0,0,75,35,,,0,0,0,0,,,,,150,25,,,0,0,0,0,,,,,1,80,1,2,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,2,2,2,,2,2,,,,2,,,,,,,,2,,,,2,,,,2,,,,,2,,,4,4,4,4,0,0,0,0,0,0,1,0,0,0,,2,1,3,2,3,3,3,3,1,68,40,1,62,68,4,2,,,,,,,,,3,2,,,,,,,,2,1,3,,1,2,,2,,2,,2,,2,,2,2,0,0,1,0,1,2,1,1,2,0,,,,,1,2,2,2,2,2,1,High cholesterol,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3,3,3,4,4,2,4,4,3,1,2,1,1,0,0,0,1,3,3,3
307,gnfykqybbm363bpb,3,0,1287.132367,EPOVSY2P9LLQCRB4N9,1,1,0,0,1,0,1,0,1,0,0,68,2,1,0,0,0,0,0,,3,28,2,2,,1,5,,2,2015,1,2,525,0,,13000,0,,1,1,1,0,0,0,1,1,0,0,0,0,66,36,,,0,0,0,0,,,,,66,36,,,0,0,0,0,,,,,1,40,1,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,2,2,2,,2,2,,,,2,,,,,,,,2,,,,2,,,,2,,,,,2,,,4,4,4,4,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,3,3,3,1,70,60,1,68,68,4,2,,,,,,,,,4,2,,,,,,,,2,1,3,,1,2,,2,,2,,2,,2,,2,2,0,0,1,0,1,1,1,1,1,0,,,,,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,1,5,4,1,4,5,2,2,2,1,1,0,0,0,1,3,3,3
314,78z60juv62prbmuv,3,0,416.6458607,EPOVSZC2FFXXDGJ4N1,1,5,0,3,2,0,1,0,1,1,0,33,1,1,0,0,0,0,0,,1,7,1,1,,2,2,,3,1996,,3,1560,0,,42000,0,,2,1,0,1,0,0,1,0,1,0,0,0,160,,250,,0,0,0,0,,,,,180,,200,,0,0,0,0,,,,,1,70,1,1,2,,,,,,,,2,,,,,,,,2,,,,1,,,,,,,,2,,2,2,2,,2,2,2,,,,,,,,2,,,,2,,,,1,2,,,,,2,,,2,,,3,4,4,3,0,0,0,0,0,0,0,0,0,1,,4,3,3,4,4,4,3,3,1,68,68,1,50,50,2,2,,,,,,,,,1,1,1,1,0,0,1,0,0,1,,2,,2,1,1,2,,2,,2,,2,,2,2,1,0,0,0,2,1,1,1,1,0,,,,,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,3,1,1,2,1,2,1,2,2,2,3,3,1,2,1,2,2,3,3
298,1v3pvrrcf0f4zdz8,3,0,2365.554604,EPOVSX3X7BSM4PH4N1,1,1,0,0,0,0,1,0,0,0,1,62,2,1,0,0,0,0,0,,3,5,4,2,,1,5,,1,1978,,2,1400,0,,15000,0,,1,1,0,0,0,0,1,0,0,0,0,0,40,,,,0,0,0,0,,,,,20,,,,0,0,0,0,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,3,2,3,0,0,0,0,0,0,0,0,0,1,,3,2,2,2,4,1,3,3,1,60,50,2,,,7,1,1,0,0,1,0,0,0,0,2,2,,,,,,,,2,1,1,1,2,2,,2,,2,,2,,2,,2,2,0,0,1,0,2,1,1,1,1,0,,,,,2,2,1,2,2,2,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,4,4,4,4,2,1,2,4,3,1,1,0,1,3,3,3
310,athdk3tegxcf3vza,3,0,902.8365099,EPOVSYQYBKJHHT94N3,1,2,0,0,2,0,1,0,1,0,0,67,2,1,0,0,0,0,0,,3,29,4,2,,1,2,,3,2016,1,2,,1,7,24000,0,,2,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,2,2,4,0,0,0,0,1,0,0,1,0,0,,1,2,2,2,2,2,2,3,1,62,60,1,82,78,6,2,,,,,,,,,2,1,1,0,0,0,0,0,1,2,1,1,1,3,1,3,2,,2,,2,,2,,2,2,0,0,0,1,2,2,1,1,1,0,,,,,2,2,2,2,2,2,,,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,0,3,4,3,3,3,2,4,3,4,2,2,1,1,0,0,0,1,3,3,3
312,gsg5yau1swh84gha,3,0,764.8231475,EPOVSYZH78BVX554N7,1,1,0,0,0,0,1,0,0,0,1,56,2,1,0,0,0,0,0,,3,21,3,2,,1,2,,2,2017,2,2,800,0,,20500,0,,1,0,1,0,0,0,1,1,0,0,0,0,75,150,,,0,0,0,0,,,,,75,80,,,0,0,0,0,,,,,1,60,3,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,,2,,2,,2,,2,,,,,2,,,,,,,,2,,,,,,,,2,,,,,2,,,4,4,3,3,0,0,0,0,0,0,0,0,0,1,,3,4,4,3,4,4,4,3,1,70,70,1,72,72,4,2,,,,,,,,,4,2,,,,,,,,2,1,1,1,1,2,,2,,2,,2,,2,,2,2,0,0,0,1,5,5,5,5,5,0,,,,,1,2,2,2,1,2,,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,0,3,2,3,5,3,2,3,4,3,2,3,2,2,2,0,0,1,3,3,3
309,c5dqrw8h58qjucvt,3,0,1117.298156,EPOVSYQX43SXD9D4N1,1,1,0,0,1,0,1,0,1,0,0,73,2,1,0,0,0,0,0,,3,48,4,2,,1,5,,2,2006,,4,460,0,,12468,0,,1,1,0,0,0,0,1,0,0,0,0,0,50,,,,0,0,0,0,,,,,25,,,,0,0,0,0,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,,3,,,,2,,,,2,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,3,3,3,4,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,3,3,3,1,68,60,1,70,65,6,2,,,,,,,,,2,1,2,0,0,0,0,0,1,4,,1,1,3,2,,2,,2,,2,,2,,2,2,0,0,1,0,1,1,1,1,1,0,,,,,2,2,2,2,2,1,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,3,4,4,2,4,5,3,2,3,3,1,1,0,0,2,3,3,3
317,7ghmmj3n4j4dv8gg,3,0,709.136935,EPOVSZY5HH6PD8D4N0,1,6,2,4,0,1,0,1,0,1,0,49,2,0,1,0,0,0,0,,2,25,3,2,,1,5,,3,1998,,5,700,0,,,1,1,1,1,0,0,0,0,1,0,0,0,0,0,180,,,,0,0,0,0,,,,,170,,,,0,0,0,0,,,,,2,,,,1,1,2,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,3,3,3,3,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,3,3,3,1,70,70,2,,,4,2,,,,,,,,,4,2,,,,,,,,4,,4,,5,2,,2,,2,,2,,2,,2,2,0,0,0,1,1,1,1,1,1,0,,,,,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,3,3,3,1,2,1,4,2,2,3
315,nghmj8cyckxucxyp,3,0,928.4210537,EPOVSZG68TFQ5Q24N3,1,3,1,0,0,1,0,1,0,0,1,40,2,1,0,0,0,0,0,,3,43,3,2,,1,4,,2,2016,1,4,550,0,,19000,0,,1,1,0,0,0,0,1,0,0,0,0,0,150,,,,0,0,0,0,,,,,90,,,,0,0,0,0,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,4,4,2,3,0,0,0,0,0,0,0,0,0,1,,4,3,4,4,3,2,2,3,1,67,63,1,75,70,6,2,,,,,,,,,2,1,2,0,0,0,0,0,1,2,1,3,,2,1,3,2,,2,,2,,2,,2,2,0,1,1,0,3,2,1,1,1,0,,,,,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,4,3,3,3,3,3,3,4,3,2,2,1,1,1,2,1,2,3,3,3
316,6x527dnc0kq6ag11,3,0,929.9981687,EPOVSZRN2WZLFCT4N6,1,1,0,0,0,0,1,0,0,0,1,56,2,1,0,0,0,0,0,,3,6,4,2,,1,2,,3,2016,2,2,3000,0,,35000,0,,2,1,1,0,1,0,1,1,0,1,0,0,200,35,,50,0,0,0,0,,,,,200,35,,0,0,0,0,0,,,,,1,100,3,2,1,1,1,2,1,1,1,2,,,,,2,,,,1,1,1,2,1,,,,,,,,3,3,,3,1,1,,2,1,1,2,,2,,,,,,,,2,,,,2,,,,2,,,,,2,,,3,3,3,3,0,1,0,0,0,0,0,0,0,0,,3,3,3,3,3,3,3,3,1,64,60,2,,,4,1,1,0,0,0,0,0,0,1,4,2,,,,,,,,3,,1,1,2,2,,2,,2,,2,,2,,2,2,0,0,1,0,2,2,2,2,2,0,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,1,3,3,3,3,3,3,3,3,3,3,4,3,3,1,0,0,1,3,3,3
319,e3zvgc8xtqwzp321,3,0,759.9161508,EPOVT2228TXK2W74N0,1,2,0,0,0,0,1,0,0,0,1,64,2,0,1,0,0,0,0,,2,36,2,2,,1,2,,2,2014,0,2,,1,2,,1,1,1,1,1,0,0,0,1,1,0,0,0,0,,,,,1,1,0,0,1,1,,,,,,,1,1,0,0,1,1,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,2,2,,,2,2,,,2,,,,2,,,,,,,,,,,,1,1,,,2,,,,,,,,3,3,3,3,1,0,0,0,0,1,0,0,0,0,,2,3,4,2,3,3,3,2,1,79,79,1,65,76,1,2,,,,,,,,,6,1,4,0,0,0,0,0,1,4,,1,1,3,2,,2,,2,,2,,2,,2,2,0,0,1,0,1,1,1,1,1,0,,,,,1,2,2,2,2,2,,,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,0,2,1,1,5,1,1,5,1,1,1,3,1,1,1,0,0,1,2,2,3
324,0qjefb8jvxy1fk7p,3,0,673.3903501,EPOVT26MXYCHKLF4N5,1,3,1,1,0,1,0,1,0,1,1,45,1,1,0,0,0,0,0,,1,10,3,1,,2,6,,1,2005,,2,200,0,,75000,0,,3,1,0,0,0,0,1,0,0,0,0,0,100,,,,0,0,0,0,,,,,100,,,,0,0,0,0,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0,0,,2,,,,2,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,4,4,4,0,0,0,0,0,0,0,0,0,1,,4,4,4,4,4,4,4,4,2,,,1,65,65,1,2,,,,,,,,,1,1,4,1,0,0,0,0,0,2,1,2,,2,1,2,1,2,1,2,2,,2,,2,2,0,1,0,0,1,1,1,1,1,0,,,,,1,2,2,2,2,2,,,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,3,2,2,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,2
320,5dzfwxamwa44wt4d,3,0,853.9579823,EPOVT2225Z2YHSK4N6,1,2,0,0,0,0,1,0,0,0,1,45,2,0,1,0,0,0,0,,2,1,3,1,,2,2,,4,1985,,3,,1,1,,1,1,1,1,0,0,0,0,0,1,1,1,0,0,,,,,0,1,1,1,,5,5,5,,,,,0,1,1,1,,5,5,5,2,,,,,,,,2,,,,2,,,,2,,,,,,,,1,,,,,,,,1,,,,2,,,,2,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,4,3,1,0,0,0,0,0,1,1,1,0,0,,2,3,2,2,4,4,4,2,1,75,75,1,73,73,2,2,,,,,,,,,6,2,,,,,,,,2,1,3,,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,1,1,3,3,3,3,3,0,,,,,1,1,2,2,1,2,,,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,0,3,3,3,3,3,3,3,3,3,3,6,3,4,3,0,0,1,2,2,2
318,4bke3ce8zbba1n2y,3,0,948.5349431,EPOVSZYNBJGF9HK4N6,1,3,0,2,0,0,1,0,0,1,1,55,2,0,1,0,0,0,0,,2,5,4,2,,1,2,,3,2003,,3,1100,0,,60000,0,,3,1,1,0,0,0,1,1,0,0,0,0,181,181,,,0,0,0,0,,,,,181,181,,,0,0,0,0,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,2,2,,,2,2,,,2,,,,2,,,,,,,,,,,,2,,,,2,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,3,4,3,4,4,4,4,3,1,72,72,1,69,71,4,2,,,,,,,,,5,2,,,,,,,,2,1,1,1,3,2,,2,,2,,2,,2,,2,2,0,0,0,1,1,1,1,1,1,0,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,1,2,1,3,5,4,1,4,4,2,2,3,3,1,1,0,0,1,3,3,3
321,vwd9ueqc548n73cc,3,0,1073.043526,EPOVT22Q6ZFS6PX4N2,1,1,0,1,0,0,1,0,0,1,0,59,2,1,0,0,0,0,0,,3,44,3,2,,1,7,,1,2018,3,3,725,0,,10100,0,,1,1,0,0,0,0,1,0,0,0,0,0,72,,,,0,0,0,0,,,,,80,,,,0,0,0,0,,,,,1,50,1,1,1,1,1,1,,,,,,,,,,,,,2,,,,1,,,,,,,,1,,,3,2,,,2,2,,,,,,,,,,,,2,,,,2,,,,,,,,,2,,,4,4,4,4,0,0,0,0,0,0,0,0,0,1,,4,4,4,4,4,4,4,4,1,70,70,1,65,68,4,1,1,0,0,0,0,0,0,1,4,2,,,,,,,,4,,4,,1,1,1,2,,2,,2,,2,,2,2,0,1,0,0,1,1,1,1,1,0,,,,,2,2,2,2,1,1,1,emphasema,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,0,4,2,3,3,3,3,3,3,3,3,5,4,4,1,2,2,2,3,3,3
322,rf2amgr00wxg6hsg,3,0,1149.541894,EPOVT23299B3N624N7,1,2,0,0,2,0,1,0,1,0,0,56,1,1,0,0,0,0,0,,1,10,3,1,,2,2,,3,1990,,3,600,0,,36000,0,,2,1,1,0,0,0,1,1,0,0,0,0,35,40,,,0,0,0,0,,,,,40,30,,,0,0,0,0,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,3,3,,,1,1,,,2,,,,2,,,,,,,,,,,,2,,,,2,,,,,,,,3,3,3,3,1,0,1,0,0,0,0,0,0,0,,3,3,3,3,3,3,3,3,1,45,50,1,80,75,7,1,1,0,1,0,0,0,0,0,4,2,,,,,,,,1,,4,,2,1,1,2,,2,,2,,1,1,2,2,1,0,0,0,3,3,3,3,3,0,,,,,2,2,2,2,1,2,,,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,0,3,3,5,3,3,3,3,3,3,3,5,3,4,2,1,1,2,2,2,2
327,n897jud0cq63ctph,3,0,431.4694309,EPOVT2VWLZD54L84N8,1,4,0,2,2,0,1,0,1,1,0,34,2,1,0,0,0,0,0,,3,14,2,1,,2,1,,0,2012,,2,1,0,,1,0,,1,0,1,0,0,0,0,0,1,0,0,0,,,,,0,0,1,0,,,2,,,,,,0,0,1,0,,,3,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,2,,,,2,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,3,3,2,2,0,0,1,0,0,0,0,0,0,0,,3,3,2,3,2,3,2,2,2,,,2,,,3,2,,,,,,,,,3,2,,,,,,,,2,1,2,,3,1,2,2,,2,,2,,2,,2,2,0,1,0,0,3,3,2,3,3,0,,,,,2,2,2,2,2,2,2,None,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,2,2,2,2
326,feuh9jarvcuz61zf,3,0,1812.080109,EPOVT2R3JVRDKBX4N5,1,4,1,0,1,1,0,1,1,0,1,65,2,0,1,0,0,0,0,,2,44,3,2,,1,2,,5,2016,2,4,,1,6,149000,0,,3,1,1,0,0,0,1,1,0,0,0,0,,,,,1,1,0,0,2,1,,,,,,,1,1,0,0,2,1,,,1,65,3,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,2,2,2,,2,2,,,,2,,,,,,,,2,,,,2,,,,2,,,,,2,,,3,3,3,3,0,0,0,0,0,0,0,0,0,1,,4,3,3,3,3,3,3,3,1,75,75,1,70,70,4,2,,,,,,,,,5,2,,,,,,,,2,1,3,,1,2,,2,,2,,2,,2,,2,2,1,0,0,0,1,1,1,1,1,0,,,,,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,5,5,1,1,2,2,1,0,0,0,1,3,3,3
