"","rnid","HH1","HH23r1","HH23r2","HH23r3","HHCr1","HHCr2","HHCr3","HHAr1","HHAr2","HHAr3","HH4","HH5","HH6r1","HH6r2","HH6r3","HH6r4","HH6r5","HH6r6","HH6r6oe","HHR","Q2","hRegionUS","HH7","HH7r3oe","HHO","HH8","HH8r8oe","HH9","HH10","HH10_1","HH11","HH12r1","noanswerHH12_r8","HH12a","HH13r1","noanswerHH13_r8","HH13a","HHI","ESC1r1","ESC1r2","ESC1r3","ESC1r4","ESC1ar1","ESC1ar2","ESC1ar3","ESC1ar4","ESC1ar5","wbill","sbill","ESC2","EB2a","EB2b","EB4","EB5r1","EB6r1","EB7a","EB7b","EB7d","EB8a","EB8b","EB8d","HEC1r1a","HEC1r1b","HEC1r1c","HEC1r1d","HEC2r1","HEC2r2","HEC2r3","HEC2r4","HEC2r5","HEC2r6","HEC2r7","HEC2r8","HEC2r9","HEC2r10","HEC3r3a","HEC3r3b","HEC3r3c","HEC3r3d","HEC3r3e","HEC3r3f","HEC3r3g","HEC3r3h","HEC4a","HEC4b","HEC5","HEC5a","HEC6","HEC6a","CEP1","CEP2","CEP3","CEP4","CEP5","CEP6","CEP7","CEP8r1","CEP8r2","CEP8r3","CEP8r4"
"12","EPOVL65Q2BF2NT84N5",1,0,0,1,0,1,0,1,0,0,73,1,1,0,0,0,0,0,"",1,44,3,1,"",2,2,"",2,1991,NA,1,NA,1,1,20000,0,NA,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"13","EPOVL6QWT4LBKDN4N6",1,0,1,0,0,1,0,0,1,0,64,2,1,0,0,0,0,0,"",3,33,1,2,"",1,7,"",1,2017,2,3,192,0,NA,10000,0,NA,1,1,0,0,0,1,0,0,0,0,1,1,0,0,NA,1,1,1,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14","EPOVL5ZQN9D4QVH4N4",2,0,0,2,0,1,0,1,0,0,67,2,1,0,0,0,0,0,"",3,44,3,1,"",2,2,"",3,1998,NA,2,NA,1,2,NA,1,4,3,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"15","EPOVL5YML8NVXNJ4N8",2,0,0,2,0,1,0,1,0,0,69,2,1,0,0,0,0,0,"",3,22,1,1,"",2,2,"",3,2001,NA,3,450,0,NA,36000,0,NA,2,1,0,1,0,1,0,1,0,0,0,1,0,0,NA,1,1,1,0,NA,NA,0,NA,NA,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"16","EPOVL6RP2TQMHMP4N1",4,2,0,0,1,0,1,0,0,1,40,2,1,0,0,0,0,0,"",3,34,3,1,"",2,2,"",5,2016,1,4,2509,0,NA,10999,0,NA,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"17","EPOVL5YM7BRRCHH4N6",2,0,0,2,0,1,0,1,0,0,81,2,1,0,0,0,0,0,"",3,3,4,1,"",2,2,"",4,1995,NA,3,250,0,NA,149000,0,NA,3,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18","EPOVL5ZMZXXMSQ44N7",1,0,1,0,0,1,0,0,1,0,59,2,1,0,0,0,0,0,"",3,38,4,2,"",1,1,"",0,2018,5,3,400,0,NA,26000,0,NA,2,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,NA,1,0,NA,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
"19","EPOVL6PHX7JSHCQ4N8",5,2,2,1,1,0,1,1,1,0,34,1,0,1,0,0,0,0,"",1,33,1,1,"",2,2,"",8,2014,2019,4,1800,0,NA,300000,0,NA,3,0,1,0,0,0,1,0,0,0,1,1,1,NA,1,0,NA,NA,NA,1,1,NA,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
"20","EPOVL5ZS9P84PYL4N4",2,0,0,2,0,1,0,1,0,0,79,2,1,0,0,0,0,0,"",3,48,4,1,"",2,2,"",3,1987,NA,3,500,0,NA,NA,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"21","EPOVL668S3V7T9H4N3",1,0,0,1,0,1,0,1,0,0,66,2,1,0,0,0,0,0,"",3,6,4,1,"",2,1,"",3,2004,NA,3,750,0,NA,12000,0,NA,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
