"","ESC1r1","ESC1r2","ESC1r3","ESC1r4","ESC1ar1","ESC1ar2","ESC1ar3","ESC1ar4","ESC2","EB2a","EB2b","EB4","EB5r1","EB6r1","EB7a","EB7b","EB7d","EB8a","EB8b","EB8d","HEC1r1a","HEC1r1b","HEC1r1c","HEC1r1d","HEC2r1","HEC2r2","HEC2r3","HEC2r4","HEC2r5","HEC2r6","HEC2r7","HEC2r8","HEC2r9","HEC2r10","HEC3r3a","HEC3r3b","HEC3r3c","HEC3r3d","HEC3r3e","HEC3r3f","HEC3r3g","HEC3r3h","HEC4a","HEC4b","HEC5","HEC5a","HEC6","HEC6a","CEP1","CEP2","CEP3","CEP4","CEP5","CEP6","CEP7","CEP8r1","CEP8r2","CEP8r3","CEP8r4"
"1989",0,1,0,0,0,1,0,0,1,NA,1,2,NA,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"1990",0,0,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,2,0,0,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,2,6,1,1,1,2,1,2,1,2,2,2,0,0,1,0
"1991",1,0,0,0,1,0,0,0,1,2,NA,2,2,1,1,NA,2,2,NA,2,3,3,3,3,0,0,0,0,0,0,0,0,0,1,3,3,3,4,3,3,3,3,1,1,7,2,2,2,2,2,2,2,2,2,2,0,0,0,1
"1992",1,0,0,0,0,0,1,0,2,NA,NA,2,1,3,1,NA,NA,2,NA,NA,2,1,3,2,0,0,1,0,0,1,0,0,0,0,3,2,1,2,3,2,4,2,1,1,3,1,5,1,1,2,1,1,1,1,1,0,1,0,0
"1993",0,0,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,1,2,1,0,0,0,0,0,0,0,0,0,1,4,2,1,4,4,2,3,3,2,1,7,2,4,2,2,1,2,2,1,2,2,0,0,1,0
"1994",1,1,0,0,1,1,0,0,1,2,2,1,3,3,2,2,2,2,2,2,3,2,2,3,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,1,1,4,2,4,1,2,2,2,2,2,2,2,0,0,0,1
"1995",1,1,1,0,0,1,0,0,2,NA,1,1,3,2,2,1,NA,1,2,NA,3,2,3,3,0,0,0,0,1,0,0,0,0,0,3,2,3,1,3,4,3,2,1,1,3,1,4,1,1,1,1,1,1,2,2,0,0,1,0
"1996",1,1,0,0,1,1,0,0,2,2,2,1,2,2,2,2,NA,2,2,NA,2,2,2,2,0,0,0,0,0,0,0,0,0,1,2,2,2,4,3,2,2,2,2,2,8,2,8,2,2,2,2,2,2,2,2,0,0,0,1
"1997",1,1,0,0,0,0,1,0,2,NA,NA,2,1,2,1,2,NA,2,2,NA,3,3,3,3,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,3,1,1,3,2,4,1,2,1,2,2,2,2,2,1,0,0,0
"1998",1,1,0,0,1,1,0,0,1,1,1,2,1,1,1,1,2,1,2,2,3,2,2,2,0,0,0,1,1,1,1,1,0,0,2,2,3,3,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,0,0,0
"1999",1,0,0,0,0,1,0,0,1,NA,1,2,1,2,1,NA,1,1,NA,1,3,3,4,1,0,0,0,0,1,0,0,0,0,0,3,4,1,4,3,4,4,3,1,1,2,1,3,1,1,1,1,1,1,1,1,0,1,0,0
"2000",1,0,0,1,1,0,1,0,1,1,NA,2,1,1,1,NA,1,1,NA,1,3,2,2,2,1,0,0,1,0,1,0,0,0,0,1,1,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0
"2001",1,1,0,0,1,1,0,0,1,1,1,1,2,2,2,1,2,1,2,2,3,3,3,3,0,1,0,0,0,0,0,0,0,0,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,0,0,1,0
"2002",1,0,0,0,1,0,0,0,2,2,NA,1,2,2,2,NA,NA,1,NA,NA,2,3,3,3,0,0,0,0,0,0,0,1,0,0,2,3,2,2,3,3,3,2,1,1,4,2,4,1,2,2,2,2,1,2,2,0,0,1,0
"2003",0,1,0,0,1,1,0,0,2,2,2,1,NA,NA,NA,2,NA,NA,2,NA,3,3,3,3,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,2,2,8,2,8,2,2,2,2,2,2,2,2,0,0,0,1
"2004",1,0,0,0,0,0,0,0,2,NA,NA,2,3,2,2,NA,NA,1,NA,NA,4,2,2,4,0,0,0,0,0,0,0,0,1,0,3,2,2,4,2,3,4,2,1,1,1,2,3,1,2,1,2,2,1,2,2,1,0,0,0
"2005",1,0,0,0,1,0,0,0,2,2,NA,1,2,2,2,NA,NA,2,NA,NA,4,3,4,4,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,1,1,2,2,5,2,2,2,2,2,2,2,2,0,0,0,1
"2006",1,0,0,0,1,0,0,0,2,2,NA,1,4,2,2,NA,NA,1,NA,NA,1,3,1,3,1,0,0,1,1,0,0,1,0,0,3,2,3,3,2,2,2,2,1,1,2,1,6,1,1,1,2,2,2,2,2,0,0,1,0
"2007",1,1,0,0,1,1,0,0,2,1,2,1,3,1,2,2,NA,2,2,NA,3,3,3,3,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,2,1,2,1,3,2,1,1,2,2,1,2,2,1,0,0,0
"2008",1,1,0,0,1,0,0,0,2,1,NA,2,2,1,2,2,NA,1,2,NA,3,4,4,4,1,0,0,0,0,0,0,0,0,0,4,4,3,4,3,4,4,3,1,1,2,2,4,2,2,2,2,2,1,2,2,0,0,0,1
"2009",0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,2,3,1,3,0,1,1,0,0,0,0,0,0,0,3,2,1,4,3,2,1,2,1,1,2,1,6,2,2,2,1,2,1,2,1,0,1,1,0
"2010",1,1,0,0,0,0,0,0,2,NA,NA,1,4,4,2,2,NA,1,2,NA,1,1,3,3,0,0,0,0,0,0,0,0,1,0,1,3,2,3,2,3,3,1,2,2,7,1,1,2,2,1,2,2,2,2,2,0,0,0,1
"2011",1,1,0,0,1,1,0,1,1,1,1,2,1,3,1,1,1,1,2,2,3,4,3,3,0,0,1,0,1,0,0,0,0,0,4,2,3,3,4,3,3,2,2,2,2,1,5,1,1,2,1,2,2,2,2,1,0,0,0
"2012",0,0,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,3,3,3,1,0,1,0,0,0,0,0,0,0,3,4,3,3,3,3,3,3,1,1,1,1,2,1,2,1,1,2,1,1,2,1,0,1,0
"2013",1,0,0,0,1,0,0,0,1,2,NA,1,2,2,2,NA,2,1,NA,1,1,1,1,3,0,0,0,1,0,0,0,1,0,0,4,1,1,1,1,1,3,3,1,1,7,1,1,1,1,1,2,2,2,2,2,0,0,1,0
"2014",1,1,0,0,1,1,0,0,1,1,1,2,1,1,2,2,2,1,1,2,2,3,3,2,0,0,0,0,0,0,1,0,0,0,3,3,3,3,4,3,3,3,1,1,7,1,1,1,1,1,1,2,1,2,2,0,0,1,0
"2015",1,0,0,0,1,0,0,0,1,2,NA,1,3,1,1,NA,2,1,NA,1,4,4,4,4,0,0,0,0,0,0,1,1,0,0,3,3,3,3,3,3,3,3,1,1,4,2,4,1,2,2,2,1,2,2,2,1,0,0,0
"2016",1,1,0,0,1,1,0,0,1,2,2,1,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,0,0,0,1,3,3,3,4,3,3,3,3,1,1,4,2,4,2,2,2,2,2,2,2,2,1,0,0,0
"2017",1,1,0,0,1,1,0,0,1,1,1,2,2,1,2,2,2,1,2,2,3,2,2,2,0,0,0,1,1,1,0,1,0,0,3,3,3,3,3,2,2,2,1,1,7,1,1,1,1,2,2,2,1,2,1,0,0,0,1
"2018",1,1,0,0,1,1,0,0,1,2,2,1,4,2,2,2,2,2,2,2,4,4,4,4,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,1,1,4,1,4,2,1,2,2,2,2,2,2,0,0,0,1
"2019",1,0,0,0,1,0,0,0,2,2,NA,1,3,3,2,NA,NA,2,NA,NA,3,3,3,3,0,1,0,1,1,1,1,1,0,0,4,4,2,2,1,2,2,4,2,1,2,2,6,2,2,1,2,1,2,2,2,0,0,0,1
"2020",1,1,0,0,1,1,0,0,1,2,2,1,2,2,2,2,2,2,2,2,3,4,4,4,1,0,0,0,0,0,0,0,0,0,3,3,4,4,3,3,3,3,1,1,3,2,4,2,2,2,2,2,2,2,2,0,0,1,0
"2021",1,1,0,0,1,1,0,0,1,2,2,1,2,2,2,2,2,2,1,1,3,2,3,4,0,0,0,0,0,1,0,0,0,0,3,3,4,3,2,3,3,2,1,1,7,1,1,1,1,2,2,2,2,2,2,0,1,0,0
"2022",1,1,0,0,1,1,0,0,2,2,2,1,2,2,2,2,NA,2,2,NA,3,3,3,3,0,0,0,0,0,0,0,0,0,1,3,1,2,1,1,1,1,1,1,1,4,2,4,2,2,2,2,2,1,2,1,0,0,1,0
"2023",0,1,0,0,0,1,0,0,1,NA,1,2,NA,NA,NA,1,1,NA,1,1,1,1,2,2,0,0,1,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,1,1,3,1,3,1,1,1,1,1,1,1,1,0,1,0,0
"2024",1,1,0,0,1,1,0,0,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,0,0,0,3,2,3,3,3,3,3,3,1,1,2,1,3,1,1,1,1,1,1,1,1,1,0,1,0
"2025",0,1,0,0,0,1,0,0,1,NA,1,2,NA,NA,NA,1,1,NA,1,1,1,1,2,2,0,0,1,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,1,1,3,1,3,1,1,1,1,1,1,1,1,0,1,0,0
"2026",1,1,0,0,0,0,0,0,1,NA,NA,2,1,1,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,1,1,4,2,4,2,1,1,1,1,1,1,1,0,1,0,0
"2027",0,0,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,4,4,4,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,1,1,2,2,6,1,1,2,2,2,2,2,2,0,0,0,1
"2028",1,0,0,0,1,0,0,0,2,2,NA,2,2,2,2,NA,NA,2,NA,NA,3,3,3,3,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,1,1,4,1,2,2,2,1,2,2,2,2,2,1,0,0,0
"2029",1,1,0,0,1,1,0,0,2,1,1,1,2,1,1,1,NA,2,2,NA,1,1,1,2,0,0,1,0,0,0,1,0,0,0,3,2,2,2,2,3,2,1,2,1,7,1,3,1,1,1,2,2,2,2,2,0,0,1,0
"2030",0,0,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,2,2,1,0,0,0,0,0,0,0,0,0,1,4,2,2,2,3,2,2,3,2,2,7,1,8,2,2,2,2,2,2,2,2,0,1,0,1
"2031",1,0,0,0,1,0,0,0,2,2,NA,1,2,2,2,NA,NA,2,NA,NA,2,4,2,4,0,0,0,0,0,0,0,0,0,1,4,2,4,4,4,4,4,4,1,1,5,2,3,2,1,2,2,2,2,2,2,0,0,1,0
"2032",1,1,0,0,1,1,0,0,2,1,2,2,2,2,1,2,NA,1,1,NA,1,2,4,3,0,0,0,0,1,0,0,0,0,0,3,3,3,3,3,2,3,3,1,1,3,1,2,1,1,1,2,2,1,2,1,0,1,0,0
"2033",1,1,0,0,1,1,0,0,2,2,2,1,2,2,2,2,NA,2,2,NA,4,4,4,4,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,2,2,7,1,1,1,2,1,1,2,2,2,2,1,1,1,1
"2034",1,1,0,0,1,1,0,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,3,1,3,1,1,1,1,3,2,2,7,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"2035",1,1,0,0,1,1,0,0,1,2,2,1,1,2,2,2,2,2,2,1,2,1,3,2,1,1,0,1,0,0,0,0,0,0,2,1,3,2,2,4,2,3,1,1,2,1,2,1,1,1,1,2,2,1,2,0,1,1,0
