"","ESC1r1","ESC1r2","ESC1r3","ESC1r4","ESC1ar1","ESC1ar2","ESC1ar3","ESC1ar4","ESC2","EB2a","EB2b","EB4","EB5r1","EB6r1","EB7a","EB7b","EB7d","EB8a","EB8b","EB8d","HEC1r1a","HEC1r1b","HEC1r1c","HEC1r1d","HEC2r1","HEC2r2","HEC2r3","HEC2r4","HEC2r5","HEC2r6","HEC2r7","HEC2r8","HEC2r9","HEC2r10","HEC3r3a","HEC3r3b","HEC3r3c","HEC3r3d","HEC3r3e","HEC3r3f","HEC3r3g","HEC3r3h","HEC4a","HEC4b","HEC5","HEC5a","HEC6","HEC6a","CEP1","CEP2","CEP3","CEP4","CEP5","CEP6","CEP7","CEP8r1","CEP8r2","CEP8r3","CEP8r4"
"1957",0,1,0,0,0,1,0,0,1,NA,1,2,NA,NA,NA,1,1,NA,1,1,1,1,2,2,0,0,1,0,0,0,0,0,0,0,1,1,2,2,2,2,1,2,1,1,3,1,3,1,1,1,1,1,1,1,1,0,1,0,0
"1958",1,0,0,0,1,0,0,0,1,2,NA,1,2,2,2,NA,2,1,NA,2,3,3,3,3,0,0,0,0,0,0,0,0,0,1,3,2,3,2,3,3,3,3,1,1,4,2,4,2,2,2,2,2,2,2,2,0,0,1,0
"1959",1,1,0,0,0,0,0,0,2,NA,NA,1,2,2,2,2,NA,1,1,NA,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,3,2,1,1,2,3,1,1,3,1,8,2,2,1,1,1,2,2,2,0,0,1,0
"1960",1,0,1,0,1,0,1,0,1,2,NA,1,2,2,2,NA,2,2,NA,2,1,1,1,3,0,0,0,1,1,0,0,0,0,0,3,2,3,1,2,2,2,3,2,2,5,2,1,1,2,2,2,2,2,2,2,0,0,1,0
"1961",0,1,0,0,0,1,0,0,1,NA,1,2,NA,NA,NA,1,1,NA,1,1,1,1,2,2,0,0,1,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,1,1,3,1,3,1,1,1,1,1,1,1,1,0,1,0,0
"1962",1,1,0,0,1,1,0,0,2,1,1,1,2,1,2,2,NA,1,1,NA,2,3,2,3,0,0,0,1,0,0,0,1,0,0,3,2,3,2,2,2,2,3,1,1,3,1,6,2,1,1,1,1,1,2,2,0,0,1,0
"1963",1,1,0,0,1,1,0,0,1,2,2,1,4,2,2,2,2,1,2,2,3,3,3,3,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,1,1,4,2,4,2,2,2,2,2,2,2,2,1,0,0,0
"1964",0,1,0,0,1,1,0,0,1,1,1,1,NA,NA,NA,2,2,NA,2,2,2,3,2,3,0,0,0,1,1,0,0,1,0,0,3,2,3,2,3,2,1,3,1,1,3,2,5,2,1,2,2,2,2,2,2,0,0,1,0
"1965",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,4,4,4,0,0,1,0,1,1,1,0,0,0,4,4,2,4,3,4,3,3,1,1,1,1,4,1,1,1,1,1,1,1,1,0,1,0,0
"1966",1,0,0,0,0,0,1,0,1,NA,NA,2,1,1,1,NA,1,1,NA,1,4,4,4,4,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,1,1,2,1,3,1,1,1,1,1,1,1,1,0,1,0,0
"1967",0,1,0,0,1,1,0,0,1,1,1,1,NA,NA,NA,1,1,NA,1,2,1,1,3,1,0,0,0,0,0,0,0,0,0,1,3,1,4,4,4,4,4,1,1,1,7,1,6,2,1,2,2,2,1,2,2,0,0,1,0
"1968",1,0,0,0,1,0,0,0,2,1,NA,1,2,2,2,NA,NA,2,NA,NA,3,3,3,3,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,1,1,4,2,4,2,2,2,2,2,2,2,2,0,0,0,1
"1969",1,0,0,0,1,0,0,0,2,2,NA,1,2,2,2,NA,NA,1,NA,NA,3,3,2,3,0,0,0,1,1,0,0,0,0,0,3,3,3,2,3,2,2,3,1,1,7,1,1,1,1,2,2,1,2,2,2,0,0,1,0
"1970",1,1,0,0,1,1,0,0,1,2,2,1,3,2,2,2,1,2,2,2,4,4,4,4,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,1,1,7,1,1,1,1,1,2,1,1,2,2,0,0,0,1
"1971",1,0,0,0,1,0,0,0,2,1,NA,1,4,4,1,NA,NA,2,NA,NA,4,2,4,3,0,0,0,0,0,0,0,0,0,1,4,3,3,3,4,4,4,4,1,1,4,2,4,2,2,1,2,2,2,2,1,0,1,1,0
"1972",1,1,0,0,1,1,0,0,1,2,2,1,2,2,2,2,2,1,2,2,3,3,3,3,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,1,1,2,2,6,2,2,2,2,2,2,2,2,0,0,0,1
"1973",1,0,0,0,0,0,1,0,1,NA,NA,2,1,1,1,NA,1,1,NA,1,4,4,4,4,0,0,1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1,1,3,1,2,1,1,1,1,1,1,1,1,0,1,0,0
"1974",1,0,0,0,1,0,0,0,1,1,NA,1,2,2,2,NA,2,1,NA,1,1,1,2,1,0,1,0,0,1,1,0,0,0,0,2,1,1,1,2,2,2,1,1,1,5,1,3,2,1,2,2,1,1,2,2,0,1,1,1
"1975",1,1,0,0,1,1,0,0,1,1,2,1,2,2,2,2,2,1,2,2,3,4,4,4,0,0,0,0,1,0,0,1,0,0,3,3,3,2,4,3,3,3,1,1,5,2,4,2,1,2,2,2,2,2,2,0,0,1,0
"1976",1,0,0,0,1,0,0,0,2,1,NA,1,3,3,2,NA,NA,2,NA,NA,2,2,2,2,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,2,2,1,1,1,2,2,1,1,2,2,2,1,0,0,0
"1977",0,0,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,3,3,3,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,1,1,4,2,4,2,2,2,2,2,2,2,2,0,0,1,0
"1978",1,0,0,0,1,0,0,0,2,2,NA,2,2,2,2,NA,NA,2,NA,NA,3,3,3,3,0,0,0,0,0,1,0,0,0,0,3,3,3,3,3,3,2,2,2,1,7,2,1,1,1,2,2,2,2,2,2,0,0,0,1
"1979",1,0,1,1,0,0,0,1,1,NA,NA,2,1,1,1,NA,1,1,NA,1,4,4,4,2,0,0,0,0,0,0,1,0,0,0,4,4,4,4,3,3,4,3,1,1,2,1,4,1,1,1,1,1,1,1,1,0,1,0,0
"1980",0,1,0,0,0,1,0,0,1,NA,1,1,NA,NA,NA,2,2,NA,2,2,4,4,4,4,0,0,0,0,0,0,0,0,0,1,4,4,4,4,3,4,4,3,1,1,2,2,6,2,1,2,2,2,2,2,2,1,0,0,0
"1981",0,0,1,0,0,1,0,0,1,NA,1,2,NA,NA,NA,NA,1,NA,NA,1,2,2,3,1,0,0,0,0,1,0,0,0,0,0,3,3,3,1,4,4,2,3,1,1,4,1,3,1,1,1,1,1,1,1,1,0,1,0,0
"1982",1,0,0,0,1,0,0,0,2,1,NA,1,2,2,2,NA,NA,1,NA,NA,3,3,2,3,0,0,0,0,0,0,0,0,0,1,3,4,4,4,3,3,3,3,1,2,7,1,5,2,1,1,2,2,1,2,1,1,0,0,0
"1983",1,1,0,0,0,0,0,0,2,NA,NA,1,2,2,2,2,NA,2,2,NA,2,3,3,3,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,2,1,1,3,1,4,2,2,2,2,2,2,2,2,0,0,1,0
"1984",1,1,0,0,1,1,0,0,1,1,1,1,2,2,1,2,2,1,2,2,3,1,3,3,0,0,0,0,0,1,0,0,0,0,1,4,4,3,3,4,4,2,1,1,4,1,3,1,1,1,1,2,2,1,1,0,1,0,0
"1985",0,1,0,0,0,0,0,1,1,NA,NA,2,NA,NA,NA,1,1,NA,1,1,2,2,2,1,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,3,1,1,4,1,5,1,1,2,1,1,1,1,1,0,1,0,0
"1986",1,1,0,0,1,1,0,0,1,1,1,1,2,1,2,2,2,2,2,2,3,3,3,3,0,1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,1,1,6,2,2,2,1,2,2,2,2,2,2,0,0,1,0
"1987",1,0,0,0,1,0,0,0,2,1,NA,2,2,1,2,NA,NA,1,NA,NA,3,3,3,3,0,0,0,0,0,1,0,0,0,0,3,3,3,3,2,3,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,0,0,1,0
"1988",1,0,0,0,1,0,1,0,1,1,NA,2,1,2,1,NA,1,1,NA,1,4,3,2,3,0,0,1,0,0,1,0,0,0,0,4,3,4,2,2,3,4,3,1,1,2,1,6,1,1,1,1,1,2,1,2,1,0,1,0
