"","x"
"640",3
"641",1
"642",7
"643",3
"644",2
"645",5
"646",2
"647",9
"648",1
"649",4
"650",7
"651",2
"652",9
"653",9
"654",8
"655",2
"656",2
"657",3
"658",5
"659",1
"660",4
"661",5
"662",8
"663",15
"664",3
"665",3
"666",3
"667",4
"668",1
"669",2
"670",2
"671",6
"672",26
"673",8
"674",5
"675",1
"676",8
"677",3
"678",11
"679",4
"680",1
"681",3
"682",3
"683",1
"684",6
"685",7
"686",4
"687",17
"688",7
"689",5
"690",14
"691",2
"692",1
"693",2
"694",11
"695",7
"696",2
"697",2
"698",5
"699",2
"700",5
"701",5
"702",15
"703",4
"704",21
"705",1
"706",5
"707",13
"708",15
"709",4
"710",1
"711",3
"712",9
"713",2
"714",14
"715",4
"716",4
"717",5
"718",15
"719",32
"720",14
"721",2
"722",6
"723",3
"724",6
"725",2
"726",3
"727",13
"728",3
"729",8
"730",8
"731",0
"732",5
"733",4
"734",17
"735",8
"736",8
"737",8
"738",1
"739",3
"740",6
"741",4
"742",2
"743",5
"744",8
"745",2
"746",1
"747",2
"748",3
"749",15
"750",1
"751",5
"752",4
"753",6
"754",12
"755",1
"756",6
"757",7
"758",4
"759",10
"760",14
"761",2
"762",4
"763",2
"764",3
"765",7
"766",8
"767",4
"768",5
"769",14
"770",0
"771",1
"772",13
"773",21
"774",3
"775",12
"776",10
"777",11
"778",12
"779",4
"780",8
"781",6
"782",5
"783",5
"784",1
"785",11
"786",6
"787",9
"788",8
"789",1
"790",7
"791",6
"792",2
"793",15
"794",2
"795",7
"796",4
"797",7
"798",4
"799",7
"800",14
"801",2
"802",17
"803",4
"804",12
"805",2
"806",7
"807",11
"808",14
"809",4
"810",16
"811",11
"812",7
"813",20
"814",13
"815",13
"816",1
"817",12
"818",3
"819",12
"820",5
"821",4
"822",24
"823",8
"824",0
"825",20
"826",3
"827",3
"828",4
"829",4
"830",8
"831",2
"832",3
"833",4
"834",2
"835",3
"836",3
"837",2
"838",10
"839",4
"840",2
"841",6
"842",6
"843",5
"844",2
"845",3
"846",5
"847",3
"848",1
"849",14
"850",1
"851",1
"852",10
"853",0
"854",3
"855",8
"856",4
"857",4
"858",3
"859",1
"860",4
